Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
Ireland,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Renewable sources,Electricity output (GWh),466,682,644,786,521,594,749,698,826,838,862,802,784,688,833,919,681,872,692,697,746,822,780,939,729,763,809,1170,1125,1186,1027,1382,1138,1394,1873,2475,2802,3595,4118,3729,5424,5256,5628,6391,7860,7512,8881,10200,11794,13459,11602,13071,13806
Ireland,Total,Electricity output (GWh),6304,6889,7348,7631,7521,8308,9021,9646,10640,10566,10529,10530,10784,11236,11741,12307,12629,12895,13534,14229,14930,15780,16149,16828,17604,18920,19689,20878,21766,23674,24632,24843,24861,25215,25626,27116,28358,29916,27967,28176,27164,27143,25576,25807,28101,30220,30671,30897,30710,31975,31575,33609,31072
Israel,Fossil fuels,Electricity output (GWh),7639,8478,8720,9158,9712,10361,11108,11874,12436,12404,12975,13639,14354,14663,15430,16028,17667,19342,20450,20895,21508,25115,25989,28401,30400,32507,35075,37930,39182,42630,43931,45468,46998,47240,48563,50533,53768,56750,54641,58389,59298,62519,60751,59892,63012,65318,65742,66978,68796,67702,68054,69347,66378
Israel,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,Renewable sources,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,6,10,10,3,3,6,29,26,23,25,24,25,25,33,31,20,32,43,39,39,25,24,32,99,171,300,484,571,921,1214,1658,1691,1757,3305,4367,5529,6400,8463
Israel,Total,Electricity output (GWh),7639,8478,8720,9158,9712,10361,11108,11874,12436,12404,12977,13641,14355,14665,15432,16034,17677,19352,20453,20898,21514,25144,26015,28424,30425,32531,35100,37955,39215,42661,43951,45500,47041,47279,48602,50558,53792,57002,55008,58592,59678,63003,61322,60813,64226,66976,67674,68894,72351,72285,73796,75964,75057
Italy,Fossil fuels,Electricity output (GWh),77267,85113,99406,101902,96971,114988,106704,119389,126599,132062,129744,130039,129488,126876,130909,135358,154708,156019,169722,178190,172802,176501,174077,180060,195366,192602,199374,206015,206587,217762,215971,227646,237404,239540,245805,254392,257790,252749,216705,218886,214572,202058,172850,154324,169632,176682,186972,170522,173093,158769,167682,178503,143549
Italy,Nuclear,Electricity output (GWh),3365,3626,3142,3410,3800,3807,3385,4428,2628,2208,2707,6804,5783,6887,7024,8758,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Renewable sources,Electricity output (GWh),43288,45155,41368,42042,45007,42988,54869,49302,49772,49204,46503,44983,44838,45873,44304,44779,43410,44671,37258,34905,45539,45767,45223,48240,41458,46223,46206,46476,51315,50879,54347,48316,46866,53871,48439,50635,47716,58163,69255,76965,82963,92222,112010,120679,108905,108023,103898,114415,115847,116915,116339,100466,116163
Italy,Total,Electricity output (GWh),123920,133894,143916,147354,145778,161783,164958,173119,178999,183474,178954,181826,180109,179636,182237,188895,198292,200690,207115,213147,218449,222668,219745,228740,237364,239398,246524,253655,259255,269941,271893,277533,286278,295777,296840,307691,308223,313528,288335,298773,300648,297298,287906,278116,281560,287943,294004,287992,292018,278588,286979,282068,262722
Japan,Fossil fuels,Electricity output (GWh),290700,331100,388633,354497,364515,389123,424444,427812,433304,400748,403966,384451,404390,424874,411237,407518,434993,462417,501195,541941,547584,559050,525071,590722,571311,583108,578586,564000,602497,615917,603382,647498,678918,666737,676964,669779,750381,722954,680144,740325,862486,941896,943512,912247,869022,858196,834876,782895,746270,736709,720693,696719,628910
Japan,Nuclear,Electricity output (GWh),8000,9500,9707,19699,25125,34079,31659,59313,70393,82591,87820,102430,114291,134264,159578,168304,187758,178659,182869,202272,213460,223259,249256,269127,291254,302201,319177,332343,316616,322050,319859,295095,240013,282442,304755,303426,263832,258128,279750,288230,101761,15939,9303,0,9437,18060,32912,64929,63779,38752,70805,56070,84055
