page,name,url
5,AMS01 Amsterdam Data Center,https://www.datacenters.com/edgeconnex-ams01-amsterdam
6,"Interxion FRA1, FRA2, FRA3, FRA4 Data Center",https://www.datacenters.com/china-telecom-interxion-fra1-fra2-fra3-fra4
6,FRA5 Frankfurt Data Center,https://www.datacenters.com/cyrusone-fra5-frankfurt
6,NY6 Secaucus Data Center,https://www.datacenters.com/equinix-ny6-secaucus
6,Houston 2 Data Center,https://www.datacenters.com/switch-houston-2
6,DUB02 Dublin Data Center,https://www.datacenters.com/edgeconnex-dub02-dublin
6,Singapore Paya Lebar SGCS2 Data Center,https://www.datacenters.com/telstra-singapore-paya-lebar-sgcs2
6,Houston 1 Data Center,https://www.datacenters.com/lumen-houston-1
6,ORD4 Chicago Tri-State Data Center,https://www.datacenters.com/databank-ord4-chicago-tri-state
6,SP1 Centro Data Center,https://www.datacenters.com/equinix-sp1-centro
6,Minneapolis - Chaska Data Center,https://www.datacenters.com/flexential-minneapolis-chaska
6,TX1 Richardson Data Center,https://www.datacenters.com/365-tx1-richardson
6,Northern Virginia IAD44 Data Center,https://www.datacenters.com/digital-realty-northern-virginia-iad44
6,JN1 Johannesburg IBX Data Center,https://www.datacenters.com/equinix-jn1-johannesburg-ibx
6,DFW1 Fort Worth Data Center Campus,https://www.datacenters.com/centersquare-dfw1-fort-worth-campus
6,Silicon Valley SFO10 Data Center,https://www.datacenters.com/digital-realty-silicon-valley-sfo10
6,Austin II Data Center,https://www.datacenters.com/lightedge-austin-ii
6,KUL1 Cyberjaya Data Center Campus,https://www.datacenters.com/vantage-kul1-cyberjaya-campus
6,DC7 Vienna Data Center,https://www.datacenters.com/equinix-dc7-vienna
6,KC1 - 1102 Grand Kansas City Data Center,https://www.datacenters.com/netrality-kc1-1102-grand-kansas-city
6,S1 Sydney Data Center,https://www.datacenters.com/nextdc-s1-sydney
6,Cairo 2 Data Center,https://www.datacenters.com/gpx-global-systems-inc-cairo-2
6,COL3 Columbus Data Center,https://www.datacenters.com/cologix-col3-columbus
6,Seattle (SE1-Lynnwood) Data Center,https://www.datacenters.com/centersquare-seattle-se1-lynnwood
6,LA3 El Segundo Data Center,https://www.datacenters.com/equinix-la3-el-segundo
6,Ashburn-Shellhorn ASH3 Data Center 1,https://www.datacenters.com/qts-ashburn-shellhorn-ash3-1
6,BO2 Billerica Data Center,https://www.datacenters.com/equinix-bo2-billerica
6,Chicago ORD011 Data Center,https://www.datacenters.com/digital-realty-chicago-ord011
6,Dallas - Plano Data Center,https://www.datacenters.com/flexential-dallas-plano
6,MTL9-H Quebec Data Center,https://www.datacenters.com/cologix-mtl9-h-quebec
6,Frankfurt FRA30 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra30
6,LHR1 London Heathrow Data Centre,https://www.datacenters.com/databank-lhr1-london-heathrow-data-centre
