total_space,total_power
486000,64
9600,5
88000,1.2
10000.0,1.5
66736,20
118000,14
86000,14
154230,24
167766.31,18
398264,30
18000,5
36000,45
130000,20
130000,20
22000,35.5
138000,36
129000,20
20990,7.5
16145,2
126000,36
230000,5
398264,30
43055,4.5
113021,20
24757,6.2
454000,24
126000,36
82882,60
230000,16
110868,25.6
125937,17.1
38750,6.3
62430,12
30000,28
400000,30
10000,6
11840,1.6
16145,2.7
90416,19.2
137778,32
95798,20
2300000,288
16145,1.1
405000,52
285000,90
561876,77.4
570000,600
24000,10
94722,15.2
19375,1
6000,5
105805,12.6
354132,82.3
285000,100
67812,30
304618,60.5
104409,24
8611,1.8
130,0.3
10000,1.5
87855,26.1
140000,32
1000000,100
64090,6
30000,4
11200,2
60000,60
6000,5
400000,40
140000,32
98555,11.3
28154,2
83000,6.3
16,1
6688,.7
24200,.46
63102,4.8
487604,12.9
325000,12
205000,20
69000,8
82000,10
100000,10
200000,20
287859,25
5382,1.2
310000,35
109600,12
236082,50
376737,130
6500,5
240000,30
165764.22,30
430566,1.2
336114,38
102935,20
430556,15
48437.6,2
140000,9
187292,20
270000,540
100000,16
215278,78
65659,8
3767,1.2
294000,82
441977,60
552,1.80
180000,32
753474,320
418200,40.5
3861,6.00
45208,6.84
210000,44
180000,18
60277.9,12
345000,24
102500,19
194000,20
56000,4.8
165000.0,60.0
705488,46
312153,120
130000,8
54000,20
375822,27
25833.39,5
180000,2
48437.6,2
8077,14.40
235966,18
226000,32
156077,0.06
473612,41
100000,2.9
80100,1.7
5500,1
16146,0.75
180000,80
1000,.10
29063,2
36597,2.6
252295,29
21527.82,3
861113,300
221000,40
7800,.5
49513.99,10
9687.52,3
74901,7.8
141000,30
45208.42,4
75840,10.8
15069,1
17222.26,.437
34500,1.2
28000,2.5
54895.94,8
65000,4.2
430556,15
75347.37,10
1000000,7
21528,5
758361,100
42507,7
5005.22,0.9
96875.19,6
360000,36.4
210500,30
12873.64,1
47361,5
10764,3
16148,14
2536,3.2
1200,5.4
6000,2
16145,4.95
107000,8
8000,19.2
77543,1.2
157000,12
44000,3
400000,100
19375.04,6
22604.21,3
3450,4
344445,130
400000,45
47361,4.7
699654.18,46
830000,48
215278,10
10169,0.5
58000,22
3600,12
117500,12
1200000,6
32000,2
3229,4
18051,0.075
20000,1.25
13000,1.44
80000,5
350000,22.5
17222,1.5
17000,.5
13000,1.5
209000,0.4
300000,22
5813,1.5
150000,14
3950000,18
35327,2.5
86111,10
46000,8.6
250000,40
140000,2
190000,30
17222,.6
180000,32
12917,1.6
157411,6
